[2026-08-27 11:08:45.580] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121149.60mm, 67329.20mm, -91.19deg]
[2026-08-27 11:08:45.581] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121134.67mm, 67328.91mm, -91.16deg]
[2026-08-27 11:08:45.581] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121134.67mm, 67328.91mm, -91.16deg]
[2026-08-27 11:08:45.581] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121134.67mm, 67328.91mm, -91.16deg]
[2026-08-27 11:08:45.581] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121134.67mm, 67328.91mm, -91.16deg]
[2026-08-27 11:08:45.581] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121134.67mm, 67328.91mm, -91.16deg]
[2026-08-27 11:08:45.581] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121134.67mm, 67328.91mm, -91.16deg]
[2026-08-27 11:08:45.600] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121134.67mm, 67328.91mm, -91.16deg]
[2026-08-27 11:08:45.600] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121119.77mm, 67328.59mm, -91.14deg]
[2026-08-27 11:08:45.600] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121119.77mm, 67328.59mm, -91.14deg]
[2026-08-27 11:08:45.600] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121119.77mm, 67328.59mm, -91.14deg]
[2026-08-27 11:08:45.601] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121119.77mm, 67328.59mm, -91.14deg]
[2026-08-27 11:08:45.601] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121119.77mm, 67328.59mm, -91.14deg]
[2026-08-27 11:08:45.601] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121119.77mm, 67328.59mm, -91.14deg]
[2026-08-27 11:08:45.620] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121119.77mm, 67328.59mm, -91.14deg]
[2026-08-27 11:08:45.621] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121108.43mm, 67330.00mm, -91.25deg]
[2026-08-27 11:08:45.621] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121108.43mm, 67330.00mm, -91.25deg]
[2026-08-27 11:08:45.621] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121108.43mm, 67330.00mm, -91.25deg]
[2026-08-27 11:08:45.621] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121108.43mm, 67330.00mm, -91.25deg]
[2026-08-27 11:08:45.621] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121108.43mm, 67330.00mm, -91.25deg]
[2026-08-27 11:08:45.621] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121108.43mm, 67330.00mm, -91.25deg]
[2026-08-27 11:08:45.640] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121108.43mm, 67330.00mm, -91.25deg]
[2026-08-27 11:08:45.640] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121093.51mm, 67329.74mm, -91.23deg]
[2026-08-27 11:08:45.640] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121093.51mm, 67329.74mm, -91.23deg]
[2026-08-27 11:08:45.641] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121093.51mm, 67329.74mm, -91.23deg]
[2026-08-27 11:08:45.641] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121093.51mm, 67329.74mm, -91.23deg]
[2026-08-27 11:08:45.641] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121093.51mm, 67329.74mm, -91.23deg]
[2026-08-27 11:08:45.641] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121093.51mm, 67329.74mm, -91.23deg]
[2026-08-27 11:08:45.660] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121093.51mm, 67329.74mm, -91.23deg]
[2026-08-27 11:08:45.660] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121078.62mm, 67329.43mm, -91.20deg]
[2026-08-27 11:08:45.661] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121078.62mm, 67329.43mm, -91.20deg]
[2026-08-27 11:08:45.661] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121078.62mm, 67329.43mm, -91.20deg]
[2026-08-27 11:08:45.661] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121078.62mm, 67329.43mm, -91.20deg]
[2026-08-27 11:08:45.661] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121078.62mm, 67329.43mm, -91.20deg]
[2026-08-27 11:08:45.661] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121078.62mm, 67329.43mm, -91.20deg]
[2026-08-27 11:08:45.680] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121078.62mm, 67329.43mm, -91.20deg]
[2026-08-27 11:08:45.681] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121063.54mm, 67329.17mm, -91.18deg]
[2026-08-27 11:08:45.681] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121063.54mm, 67329.17mm, -91.18deg]
[2026-08-27 11:08:45.681] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121063.54mm, 67329.17mm, -91.18deg]
[2026-08-27 11:08:45.681] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121063.54mm, 67329.17mm, -91.18deg]
[2026-08-27 11:08:45.681] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121063.54mm, 67329.17mm, -91.18deg]
[2026-08-27 11:08:45.681] [motion] [warning] Current vehicle pose in super_segment 3013 raws is [121063.54mm, 67329.17mm, -91.18deg]
[2026-08-27 11:08:45.700] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121063.54mm, 67329.17mm, -91.18deg]
[2026-08-27 11:08:45.701] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121048.93mm, 67328.91mm, -91.15deg]
[2026-08-27 11:08:45.701] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121048.93mm, 67328.91mm, -91.15deg]
[2026-08-27 11:08:45.701] [motion] [warning] Last vehicle pose in location_interpolation 302 raws is [121048.93mm, 67328.91mm, -91.15deg]
[2026-08-27 11:08:45.701] [motion] [warning] Current vehicle pose in location_interpolation 306 raws is [121048.93mm, 67328.91mm, -91.15deg]
[2026-08-27 11:08:45.701] [motion] [warning] Current vehicle pose in super_omni_controller 204 raws is [121048.93mm, 67328.91mm, -91.15deg]
